productCode,productName,imageUrl,tags,productDescription,productType,subcategory,fabricType
PKS110,Men's Long Sleeve Formal Shirts white,Men's Long Sleeve Formal Shirts white.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:
 

Max.Printed Size: 3.5inch x 3.5inch

Fabric: polyester cotton fabric

Collar: Regular

Sleeves: Full

Formal Shirt

Soft hand washable.



Print Recommendations:

 

    Any small/tiny letters and designs are printed

    All designs/logo uploaded should have a resolution of 300 dpi.

    Solid and gradient colors are recommended for Printing.",Corporate-Shirt,10,polyester
PKSS111,Men's Long Sleeve Formal Shirts Gray,Men's Long Sleeve Formal Shirts Gray.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:
 

Max.Printed Size: 3.5inch x 3.5inch

Fabric: polyester cotton fabric

Collar: Regular

Sleeves: Full

Formal Shirt

Soft hand washable.



Print Recommendations:

 

    Any small/tiny letters and designs are printed

    All designs/logo uploaded should have a resolution of 300 dpi.

    Solid and gradient colors are recommended for Printing.",Corporate-Shirt,10,Nylon
PKS112,Men's Long Sleeve Formal Shirts Sky-blue,Men's Long Sleeve Formal Shirts Sky-blue.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:
 

Max.Printed Size: 3.5inch x 3.5inch

Fabric: polyester cotton fabric

Collar: Regular

Sleeves: Full

Formal Shirt

Soft hand washable.



Print Recommendations:

 

    Any small/tiny letters and designs are printed

    All designs/logo uploaded should have a resolution of 300 dpi.

    Solid and gradient colors are recommended for Printing.",Corporate-Shirt,10,polyester
PKS113,Men's Long Sleeve Formal Shirts4 Dark Gray,Men's Long Sleeve Formal Shirts4 Dark Gray.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:
 

Max.Printed Size: 3.5inch x 3.5inch

Fabric: polyester cotton fabric

Collar: Regular

Sleeves: Full

Formal Shirt

Soft hand washable.



Print Recommendations:

 

    Any small/tiny letters and designs are printed

    All designs/logo uploaded should have a resolution of 300 dpi.

    Solid and gradient colors are recommended for Printing.",Corporate-Shirt,10,polyester
PKS114,Men's Long Sleeve Formal Shirts5 Black,Men's Long Sleeve Formal Shirts5 Black.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:
 

Max.Printed Size: 3.5inch x 3.5inch

Fabric: polyester cotton fabric

Collar: Regular

Sleeves: Full

Formal Shirt

Soft hand washable.



Print Recommendations:

 

    Any small/tiny letters and designs are printed

    All designs/logo uploaded should have a resolution of 300 dpi.

    Solid and gradient colors are recommended for Printing.",Corporate-Shirt,10,polyester
PKS115,Men's Long Sleeve Formal Shirts Blue,Men's Long Sleeve Formal Shirts Blue.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:
 

Max.Printed Size: 3.5inch x 3.5inch

Fabric: polyester cotton fabric

Collar: Regular

Sleeves: Full

Formal Shirt

Soft hand washable.



Print Recommendations:

 

    Any small/tiny letters and designs are printed

    All designs/logo uploaded should have a resolution of 300 dpi.

    Solid and gradient colors are recommended for Printing.",Corporate-Shirt,10,polyester
PKS116,Men's Economy Long Sleeve Office Shirts Beige,Men's Economy Long Sleeve Office Shirts Beige.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Viscose
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,polyester
PKS117,Men's Economy Long Sleeve Office Shirts White,Men's Economy Long Sleeve Office Shirts White.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Viscose
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,polyester
PKS118,Men's Economy Long Sleeve Office Shirts Pink,Men's Economy Long Sleeve Office Shirts Pink.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Viscose
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,polyester
PKS119,Men's Economy Long Sleeve Office Shirts Light Red,Men's Economy Long Sleeve Office Shirts Light Red.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Viscose
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,polyester
PKS120,Men's Economy Long Sleeve Office Shirts Hawkes Blue,Men's Economy Long Sleeve Office Shirts Hawkes Blue.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Viscose
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,polyester
PKS121,Men's Formal Curve Bottom Shirts Royal Blue,Men's Formal Curve Bottom Shirts Royal Blue.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS122,mens-formal-curve-bottom-shirts-sky-blue,mens-formal-curve-bottom-shirts-sky-blue.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS123,mens-formal-curve-bottom-shirts-ceil,mens-formal-curve-bottom-shirts-ceil.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS124,mens-formal-curve-bottom-shirts-white,mens-formal-curve-bottom-shirts-white.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS125,mens-formal-curve-bottom-shirts-black,mens-formal-curve-bottom-shirts-black.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS126,mens-formal-curve-bottom-shirts-red,mens-formal-curve-bottom-shirts-red.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
