productCode,productName,productDescription,productType,capacity,proMinQuantity,imageUrl,tags,subcategory
PKM101,EcoWave: Stainless Steel Double wall Coffee mug | Outer body made of Wheat & Rice husk | Leak Proof  ,"– Beautiful Eco Wave design mug
– Mirror finish stainless steel inside for longer life
– Double wall protects your hands from burning by hot liquids inside
– Mug’s double wall also prevents cold liquids’ temperature increase by body heat
– Comes with a cap to store your drink for later
– Outer body made of wheat fiber & rice husk
– Capacity 425 ml approx
– Made in India",Coffee mug,425ml ,50,Sipper & Mug-images-1_cleanup.jpg,"PKM101, coffee mug,mugs,mug,sipper, sippers,coffee mugs",33
PKM102,EcoWave Mini: Stainless Steel Double wall Coffee mug | Outer body made of Wheat & Rice husk | Leak Proof ,"– Classic Mini Eco Wave design mug
– Mirror finish stainless steel inside for longer life
– Double wall protects your hands from burning by hot liquids inside
– Mug’s double wall also prevents cold liquids’ temperature increase by body heat
– Comes with a cap to store your drink for later
– Outer body made of wheat fiber & rice husk
– Capacity 220 ml approx
– Made in India",Coffee mug,Coffee mug,50,Sipper & Mug-images-2_cleanup.jpg,"PKM102, coffee mug,mugs,mug,sipper, sippers,coffee mugs",33
PKM103,Cambridge Magic Stainless steel Mug with 304 steel | Spill free design,"– Enjoy your coffee in the original Power Plus suction mug
– Magic suction feature ensures spill free design
– Elegant design, made of food-safe 304 stainless steel inside
– Mug doesn’t fall off with accidental pushes, but can be lifted easily straight up with handle
– Special mechanism that does not allow the build-up of steam in the mug
– Handle grip with finger marks for a better user experience
– Capacity: 470ml (approx)",Coffee mug,470 ml,50,Sipper & Mug-images-3_cleanup.jpg,"PKM103, coffee mug,mugs,mug,sipper, sippers,coffee mugs",33
PKM104,Oxford Marble Mug: Stainless Steel Double wall Coffee mug Marble Finish | Leakproof,"– Premium Oxford Marble Coffee mug
– Glossy marble finish on body looks super premium
– High quality stainless steel double wall mug
– Mirror finish stainless steel inside for longer life
– Double wall protects your hands from burning by hot liquids inside
– Mug’s double wall also prevents cold liquids’ temperature increase by body heat
– Comes with a cap to store your drink for later
– Capacity 460 ml approx
– Made in India",Coffee mug,460ml ,50,Sipper & Mug-images-4_cleanup.jpg,"PKM104, coffee mug,mugs,mug,sipper, sippers,coffee mugs",33
PKM105,Noble Woody Mug: Stainless Steel Double wall Coffee mug with Wooden Finish | Leakproof ,"– Premium Noble woody Coffee mug
– Matte wooden finish on body stands out
– High quality stainless steel double wall mug
– Mirror finish stainless steel inside for longer life
– Double wall protects your hands from burning by hot liquids inside
– Mug’s double wall also prevents cold liquids’ temperature increase by body heat
– Comes with a cap to store your drink for later
– Capacity 460 ml approx.
– Made in India",Coffee mug,460 ml,50,Sipper & Mug-images-5_cleanup.jpg,"PKM105, coffee mug,mugs,mug,sipper, sippers,coffee mugs",33
PKS201,Square II Eco: Eco Friendly Insulated Steel Bottle | Keeps Hot & Cold for 4-6 Hours | Strap for Carrying easily,"– Stainless steel bottle with PU Insulated Eco Friendly outer body
– Fresh Square shape with Grooves looks beautiful
– Works like a flask, keeps your drink hot / cold for 4-6 hours
– Durable & Light Weight
– Made from high-quality Stainless steel with rice husk and wheat fiber
– Electropolished inside to increase durability and to make the bottle bacteria resistant
– Makes the bottle stay fresh with no odors
– Silicon strap for carrying easily
– Capacity 750ml (approx)
– Made in India",Sipper Bottle,750 ml,50,Sipper & Mug-images-6_cleanup.jpg,"PKS201, coffee mug,mugs,mug,sipper, sippers,coffee mugs",19
PKS202,Quest 900ml Vacuum Insulated Flask with Carry Strap | 304 steel inside & outside | 18 hours hot/cold,"– Quest Vacuum Insulated Flask with Carry Strap
– Crafted with 304 steel inside and outside
– Keeps Beverages hot or cold for upto 18 hours
– Silicon strap for carrying easily
– High Quality and Durable Design
– Matte Finish body for premium looks
– Fully insulated, double walled and vacuumized for better temperature retention
– Beautiful design, easy on eyes",Sipper Bottle,900 ml,50,Sipper & Mug-images-7_cleanup.jpg,"PKS202, coffee mug,mugs,mug,sipper, sippers,coffee mugs",19
PKS203,Urbane: Vacuumized mug sipper with flip top lid | Keeps hot upto 6 hours,"– Urbane Sipper is made from premium double wall stainless steel
– Keeps drinks hot for up to 6 hours
– Ideal for daily commute or outdoor activities
– Features a flip top lid for convenience
– Durable & Light Weight
– Color: Black and White
– Capacity 375ml (approx)",Sipper Bottle,375 ml,50,Sipper & Mug-images-10_cleanup.jpg,"PKS203, coffee mug,mugs,mug,sipper, sippers,coffee mugs",19
PKS204,Long Cola 750 Colored: Stainless steel single wall bottle | With Colored Cap and Carry strap,"– Long Cola 750 stainless steel bottle
– Perfect for keeping beverages at ideal temperature
– Colored cap and carry strap
– Durable and stylish design
– Carefully packed in a brown box, perfect for gifting
– Capacity: 750ml approx
– Made from high-quality stainless steel
– Regular color black; other specified colors need MOQ of 300 pcs",Sipper Bottle,750 ml,50,Sipper & Mug-images-11_cleanup.jpg,"PKS204, coffee mug,mugs,mug,sipper, sippers,coffee mugs",19
PKS205,Bolt 750: Stainless steel single wall bottle | With Carry strap,"– Bolt 750 stainless steel bottle
– Perfect for keeping beverages at ideal temperature
– Convenient carry strap for on-the-go use
– Durable and stylish design
– Carefully packed in a brown box, perfect for gifting
– Capacity: 750ml approx
– Made from high-quality stainless steel",Sipper Bottle,750 ml,50,Sipper & Mug-images-12_cleanup.jpg,"PKS205, coffee mug,mugs,mug,sipper, sippers,coffee mugs",19
PKA101,Candy,"Plastic Ball Pen
1 Year Refill Non Dry Gurantee
Multiple Color Available",Plastic Ball Pen,,500,1_cleanup.jpg,"PKA101, coffee mug,mugs,mug,sipper, sippers,coffee mugs",29
PKA102,Chota Veer,"Plastic Ball Pen
1 Year Refill Non Dry Gurantee
Multiple Color Available",Plastic Ball Pen,,500,2_cleanup_cleanup.jpg,"PKA102, coffee mug,mugs,mug,sipper, sippers,coffee mugs",29
PKA103,Kosy,"Plastic Ball Pen
1 Year Refill Non Dry Gurantee
Multiple Color Available",Plastic Ball Pen,,500,3_cleanup_cleanup.jpg,"PKA103, coffee mug,mugs,mug,sipper, sippers,coffee mugs",29
PKA104,Kosy Colorful,"Plastic Ball Pen
1 Year Refill Non Dry Gurantee
Multiple Color Available",Plastic Ball Pen,,500,4_cleanup_cleanup.jpg,"PKA104, coffee mug,mugs,mug,sipper, sippers,coffee mugs",29
PKA105,Softek,"Plastic Ball Pen
1 Year Refill Non Dry Gurantee
Multiple Color Available",Plastic Ball Pen,,500,5_cleanup.jpg,"PKA105, coffee mug,mugs,mug,sipper, sippers,coffee mugs",29
